324 10  
30303,114 53296,468 792 10
30318,585 53302,315 792 20
30202,566 54202,813 792 20
30197,828 54187,058 792 37
30308,033 53295,174 792 37
30202,395 54207,427 792 37
30540,508 53257,918 792 37
30302,78 53300,238 792 37
30202,934 54195,684 792 37
30310,802 53290,734 792 22
30316,81 53289,844 792 22
30206,741 54199,171 792 22
30308,041 53294,087 792 22
30200,842 54199,015 792 22
30200,661 54195,282 792 22
30527,112 53076,721 792 22
30302,31 53298,289 792 22
30203,59 54194,419 792 22
30205,152 54195,32 792 22
30200,152 54192,86 792 22
30196,99 54191,287 792 22
30201,226 54202,056 792 22
30215,866 54204,917 792 22
30201,072 54192,689 792 22
30206,96 54198,019 792 22
30527,214 53072,175 792 22
30208,619 54171,623 792 22
30517,267 53064,787 792 22
30517,271 53064,821 792 22
30315,317 53290,231 792 22
30305,519 53297,546 792 22
30209,188 54197,66 792 22
30305,716 53291,512 792 22
30303,875 53288,565 792 22
30305,094 53287,903 792 22
30191,128 54185,586 792 22
30198,46 54191,428 792 22
30516,624 53063,434 792 22
30304,559 53288,335 792 22
30209,459 54176,096 792 22
30204,169 54191,793 792 22
30323,112 53255,066 792 22
30203,47 54200,317 792 22
30307,911 53295,247 792 22
30307,229 53292,326 792 25
30192,492 54193,005 792 25
30305,094 53287,903 792 25
30296,665 53304,769 792 25
30305,716 53291,512 792 25
30303,875 53288,565 792 25
30206,872 54197,259 792 25
30204,007 54196,832 792 25
30200,201 54196,448 792 25
30311,838 53291,605 792 25
30308,384 53297,079 792 25
30197,828 54187,058 792 24
30519,449 53090,243 792 24
30540,508 53257,918 792 24
30308,033 53295,174 792 24
30203,731 54195,738 792 24
30202,395 54207,427 792 24
30197,559 54195,955 792 24
30302,78 53300,238 792 24
30302,78 53300,238 792 24
30202,934 54195,684 792 24
30197,559 54195,955 792 24
30306,131 53290,931 792 32
30306,115 53290,661 792 32
30313,916 53295,073 792 32
30202,202 54202,31 792 32
30208,849 54199,724 792 32
30194,934 54187,885 792 32
30202,557 54187,749 792 32
30203,33 54201,864 792 32
30315,68 53289,191 792 32
30197,603 54193,331 792 32
30308,041 53294,087 792 32
30206,204 54196,933 792 32
30200,892 54193,078 792 32
30200,96 54204,063 792 32
30198,482 54203,639 792 3
30192,61 54199,513 792 3
30308,406 53286,848 792 10
30196,381 54201,508 792 10
30309,774 53293,807 792 44
30306,679 53290,981 792 44
30304,528 53292,22 792 44
30314,399 53290,403 792 44
30193,328 54192,805 792 44
30522,466 53071,677 792 44
30307,946 53292,566 792 44
30204,292 54200,034 792 44
30311,932 53296,127 792 44
30199,891 54195,487 792 44
30199,813 54199,349 792 44
30195,383 54202,836 792 15
30201,62 54186,915 792 15
30323,112 53255,066 792 15
30196,02 54196,759 792 15
30315,137 53301,496 792 15
30055,235 54376,974 792 34
30315,327 53283,607 792 34
30211,512 54204,736 792 34
30197,679 54188,091 792 34
30195,416 54198,118 792 34
30201,62 54186,915 792 34
30203,59 54194,419 792 34
30303,114 53296,468 792 34
30197,537 54186,612 792 34
30204,125 54194,347 792 34
30307,688 53291,547 792 34
30211,059 54197,645 792 34
30319,897 53299,443 792 34
30201,601 54196,55 792 34
30203,33 54201,864 792 32
30206,204 54196,933 792 32
30315,68 53289,191 792 32
30200,96 54204,063 792 32
30308,041 53294,087 792 32
30200,892 54193,078 792 32
30315,555 54051,042 792 32
30212,117 54168,41 792 32
30309,244 53284,792 792 17
30207,516 54200,803 792 17
30308,072 53284,748 792 17
30319,125 53298,205 792 17
30206,073 54189,146 792 17
30305,41 53289,125 792 17
30196,849 54192,832 792 17
30197,603 54193,331 792 17
30527,099 53069,961 792 17
30316,449 53300,582 792 17
30149,494 54113,596 792 17
30209,159 54173,696 792 17
30303,3 53301,884 792 12
30303,3 53301,884 792 12
30303,3 53301,884 792 12
30303,3 53301,884 792 12
30195,331 54236,102 792 12
30567,715 53061,871 792 12
30517,86 53064,446 792 12
30181,64 53164,5 792 12
30152,511 53196,949 792 12
30512,753 53055,162 792 12
30526,722 53075,527 792 12
30521,838 53070,563 792 12
30526,599 53080,94 792 12
30291,35 53299,358 792 12
30289,956 54124,499 792 12
30218,028 54207,525 792 12
30299,53 53370,07 792 12
30195,87 54185,446 792 12
30195,757 54185,556 792 12
30035,156 53545,333 792 27
30168,24 54206,591 792 27
30168,244 54206,591 792 27
30301,472 53288,003 792 5
30206,013 54194,072 792 5
30203,396 54200,457 792 5
